ImageId,Label
1,0
2,8
3,1
4,8
5,1
6,8
7,8
8,1
9,8
10,1
11,1
12,8
13,0
14,8
15,0
16,8
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,4
25,0
26,1
27,1
28,0
29,1
30,8
31,4
32,8
33,8
34,1
35,0
36,1
37,1
38,1
39,0
40,1
41,8
42,1
43,4
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,0
57,1
58,1
59,8
60,8
61,1
62,1
63,1
64,1
65,8
66,8
67,0
68,1
69,1
70,1
71,1
72,1
73,6
74,1
75,1
76,1
77,0
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,8
91,1
92,1
93,1
94,1
95,1
96,0
97,8
98,8
99,0
100,1
101,1
102,1
103,1
104,8
105,8
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,1
114,8
115,1
116,4
117,6
118,1
119,0
120,1
121,8
122,1
123,1
124,1
125,1
126,0
127,8
128,1
129,1
130,6
131,0
132,4
133,1
134,1
135,8
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,0
154,1
155,8
156,1
157,8
158,1
159,1
160,1
161,8
162,1
163,8
164,8
165,1
166,1
167,8
168,0
169,0
170,1
171,8
172,8
173,0
174,0
175,0
176,0
177,8
178,8
179,1
180,1
181,0
182,1
183,1
184,1
185,8
186,0
187,1
188,1
189,1
190,1
191,0
192,1
193,8
194,0
195,0
196,8
197,1
198,1
199,1
200,8
201,1
202,0
203,0
204,1
205,1
206,8
207,4
208,6
209,1
210,0
211,1
212,0
213,8
214,1
215,8
216,0
217,0
218,1
219,0
220,1
221,1
222,1
223,1
224,4
225,1
226,1
227,1
228,1
229,0
230,0
231,8
232,1
233,8
234,1
235,4
236,8
237,8
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,4
246,8
247,1
248,1
249,1
250,1
251,0
252,0
253,0
254,8
255,1
256,8
257,6
258,1
259,0
260,1
261,1
262,1
263,4
264,6
265,0
266,8
267,1
268,6
269,8
270,1
271,1
272,8
273,1
274,8
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,8
283,8
284,1
285,1
286,1
287,0
288,1
289,0
290,8
291,1
292,1
293,1
294,4
295,8
296,1
297,0
298,8
299,8
300,8
301,1
302,6
303,1
304,8
305,1
306,1
307,8
308,1
309,1
310,1
311,1
312,6
313,1
314,1
315,8
316,8
317,4
318,8
319,0
320,1
321,0
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,0
330,1
331,1
332,0
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,4
343,1
344,1
345,1
346,8
347,1
348,1
349,8
350,8
351,1
352,0
353,0
354,1
355,1
356,1
357,0
358,1
359,8
360,1
361,0
362,1
363,8
364,1
365,6
366,1
367,1
368,1
369,1
370,8
371,1
372,1
373,1
374,1
375,0
376,0
377,1
378,1
379,8
380,8
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,0
389,1
390,8
391,0
392,1
393,8
394,0
395,1
396,1
397,1
398,1
399,8
400,8
401,1
402,1
403,1
404,6
405,1
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,0
414,1
415,8
416,1
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,8
426,1
427,1
428,1
429,8
430,1
431,0
432,4
433,8
434,1
435,8
436,1
437,1
438,0
439,1
440,8
441,1
442,0
443,1
444,0
445,1
446,1
447,6
448,1
449,1
450,8
451,1
452,0
453,1
454,1
455,1
456,1
457,8
458,8
459,1
460,1
461,1
462,1
463,1
464,8
465,4
466,1
467,1
468,1
469,1
470,0
471,1
472,8
473,0
474,1
475,1
476,8
477,1
478,1
479,1
480,1
481,1
482,0
483,1
484,1
485,6
486,0
487,0
488,1
489,1
490,8
491,1
492,6
493,1
494,4
495,1
496,8
497,1
498,0
499,1
500,1
501,1
502,1
503,4
504,1
505,1
506,1
507,1
508,1
509,8
510,1
511,0
512,1
513,1
514,0
515,1
516,4
517,1
518,0
519,1
520,8
521,1
522,8
523,8
524,8
525,4
526,1
527,8
528,1
529,1
530,0
531,0
532,8
533,1
534,6
535,1
536,8
537,1
538,1
539,6
540,1
541,0
542,0
543,1
544,0
545,8
546,1
547,8
548,8
549,0
550,1
551,1
552,8
553,8
554,0
555,1
556,0
557,0
558,6
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,0
569,1
570,1
571,8
572,1
573,8
574,1
575,8
576,1
577,1
578,1
579,4
580,1
581,8
582,1
583,8
584,1
585,8
586,1
587,0
588,1
589,1
590,0
591,1
592,1
593,1
594,6
595,1
596,1
597,1
598,1
599,1
600,0
601,1
602,1
603,8
604,1
605,1
606,8
607,1
608,1
609,8
610,1
611,8
612,6
613,0
614,1
615,1
616,0
617,8
618,1
619,1
620,0
621,1
622,1
623,1
624,1
625,1
626,1
627,0
628,8
629,1
630,8
631,0
632,1
633,6
634,1
635,1
636,0
637,8
638,1
639,1
640,1
641,8
642,1
643,0
644,1
645,8
646,1
647,1
648,0
649,1
650,1
651,1
652,1
653,1
654,8
655,1
656,1
657,8
658,0
659,1
660,0
661,1
662,1
663,6
664,8
665,1
666,1
667,1
668,0
669,1
670,1
671,0
672,0
673,4
674,1
675,1
676,1
677,0
678,8
679,1
680,0
681,1
682,1
683,1
684,1
685,0
686,8
687,0
688,0
689,1
690,1
